split,method,rank,queries,query_fraction,anchors,interpolation_one_norm,surface_rmse,mean_infinity_error,mean_grid_regret,maximum_grid_regret,exact_decision_fraction,minimum_regret_bound_slack,regret_bound_covered
development,salience_raw,24,24,0.09375,85 246 197 249 215 218 206 227 253 118 170 87 182 223 187 126 150 221 11 190 175 91 251 235,9.160341513583493,0.015894061205077373,0.039794472693324076,0.0025635448130873883,0.018401803159410646,0.765625,3.2597467125583535e-07,1.0
development,anchor_gated_residual,32,32,0.125,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125 249 147 103 91 174 219 171 253 231 102 95 110 227 178 89 100,0.0,0.030217735607060415,0.06673929385739757,0.00224996561900722,0.036552631736270325,0.84375,0.0,1.0
development,salience_residual,32,32,0.125,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125 249 147 103 91 174 219 171 253 231 102 95 110 227 178 89 100,8.108613537598895,0.014162553595801094,0.03389076093636861,0.002727490221653762,0.04035525885227553,0.84375,8.881784197001252e-16,1.0
development,uniform_residual,32,32,0.125,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125 249 147 103 91 174 219 171 253 231 102 95 110 227 178 89 100,8.108613537598895,0.014162553595801094,0.03389076093636861,0.002727490221653762,0.04035525885227553,0.84375,8.881784197001252e-16,1.0
development,random_residual,32,32,0.125,8 17 24 33 39 51 59 74 79 80 89 92 93 103 110 120 132 143 153 160 164 172 186 192 207 210 212 213 216 222 227 246,150.56975481798065,0.04351760899803704,0.11765766413120568,0.03498830398335262,0.2527823204404348,0.65625,2.4424906541753444e-15,1.0
development,salience_raw,32,32,0.125,85 246 197 249 215 218 206 227 253 118 170 87 182 223 187 126 150 221 11 190 175 91 251 235 231 84 209 105 247 138 121 186,7.901307253461618,0.013136035238641671,0.031051158541460733,0.0035352326102634137,0.020729339673088654,0.71875,1.5543122344752192e-15,1.0
confirmation,anchor_gated_residual,1,1,0.00390625,83,0.0,0.01800046165775492,0.019658874934625918,0.0,0.0,1.0,4.440892098500626e-16,1.0
confirmation,salience_residual,1,1,0.00390625,83,0.9999999999999996,0.04989391484704406,0.16836972159425206,0.0,0.0,1.0,0.24165079612129825,1.0
confirmation,uniform_residual,1,1,0.00390625,83,0.9999999999999996,0.04989391484704406,0.16836972159425206,0.0,0.0,1.0,0.24165079612129825,1.0
confirmation,random_residual,1,1,0.00390625,59,2.2887355810536705,0.0773985652662728,0.3159434772030211,0.35242504967818133,0.35751377314606797,0.0,0.2604993912384651,1.0
confirmation,salience_raw,1,1,0.00390625,85,0.9999999999999998,0.05058906211208388,0.1567685753404159,0.04917692671250613,0.057883998656390934,0.0,0.1601409979569156,1.0
confirmation,anchor_gated_residual,2,2,0.0078125,83 211,0.0,0.01800046165775492,0.019658874934625935,0.0,0.0,1.0,4.440892098500626e-16,1.0
confirmation,salience_residual,2,2,0.0078125,83 211,1.08779984193538,0.030036557559572536,0.0858656421802481,0.0,0.0,1.0,0.16374653726327892,1.0
confirmation,uniform_residual,2,2,0.0078125,83 211,1.08779984193538,0.030036557559572536,0.0858656421802481,0.0,0.0,1.0,0.16374653726327892,1.0
confirmation,random_residual,2,2,0.0078125,59 216,27.59651949001492,0.07106696647221732,0.2632947982422469,0.09328353128783066,0.11753604786368366,0.0,0.3919911652845396,1.0
confirmation,salience_raw,2,2,0.0078125,85 246,1.3627599262347112,0.049549898497457716,0.15100518388269174,0.021705112118327048,0.02574190978937385,0.0,0.17134052613086737,1.0
confirmation,anchor_gated_residual,3,3,0.01171875,83 211 246,0.0,0.00609507021109534,0.01130063923014522,0.0,0.0,1.0,4.440892098500626e-16,1.0
confirmation,salience_residual,3,3,0.01171875,83 211 246,1.3124098019995145,0.027485647950506058,0.07968630385753342,0.0,0.0,1.0,0.1508091478602127,1.0
confirmation,uniform_residual,3,3,0.01171875,83 211 246,1.3124098019995145,0.027485647950506058,0.07968630385753342,0.0,0.0,1.0,0.1508091478602127,1.0
confirmation,random_residual,3,3,0.01171875,59 120 216,12.569808116560923,0.05817964608070005,0.17555623187948333,0.04917692671250613,0.057883998656390934,0.0,0.24291286937230294,1.0
confirmation,salience_raw,3,3,0.01171875,85 246 197,1.6502408038801037,0.01667282484243607,0.045719420879736995,0.0,0.0,1.0,0.08082513465843189,1.0
confirmation,anchor_gated_residual,4,4,0.015625,83 211 246 23,0.0,0.00609507021109534,0.011300639230145206,0.0,0.0,1.0,4.440892098500626e-16,1.0
confirmation,salience_residual,4,4,0.015625,83 211 246 23,2.5125440306574487,0.01181141663859242,0.04596186930219652,0.0,0.0,1.0,0.07844610091626092,1.0
confirmation,uniform_residual,4,4,0.015625,83 211 246 23,2.5125440306574487,0.01181141663859242,0.04596186930219652,0.0,0.0,1.0,0.07844610091626092,1.0
confirmation,random_residual,4,4,0.015625,59 120 164 216,31.453576183766817,0.035459844651408834,0.10734993753720198,0.019823501373028428,0.057883998656390934,0.625,0.11543722637626286,1.0
confirmation,salience_raw,4,4,0.015625,85 246 197 249,1.8571722476894539,0.011821013901621937,0.034314557289897865,0.0,0.0,1.0,0.04371588516371405,1.0
